'Row_Id','Año','Departamento','Genero','Defunciones'
1,19,1,1,18552
2,19,2,1,4620
3,19,3,1,15002
4,19,4,1,2885
5,19,5,1,3040
6,19,6,1,3478
7,19,7,1,1447
8,19,8,1,2812
9,19,9,1,1442
10,19,10,1,2118
11,19,11,1,4726
12,19,12,1,619
13,19,13,1,2493
14,19,14,1,677
15,19,15,1,1979
16,19,16,1,2050
17,19,17,1,2608
18,19,18,1,3406
19,19,19,1,1880
20,19,20,1,3356
21,19,21,1,5507
22,19,22,1,1013
23,19,23,1,4066
24,19,24,1,13197
25,19,25,1,475
26,19,26,1,633
27,19,27,1,802
28,19,28,1,99
29,19,29,1,88
30,19,30,1,39
31,19,31,1,211
32,19,32,1,67
33,19,33,1,128
34,19,1,2,11265
35,19,2,2,3221
36,19,3,2,11568
37,19,4,2,2128
38,19,5,2,2329
39,19,6,2,2292
40,19,7,2,563
41,19,8,2,1995
42,19,9,2,756
43,19,10,2,1455
44,19,11,2,3094
45,19,12,2,449
46,19,13,2,1666
47,19,14,2,416
48,19,15,2,1123
49,19,16,2,1021
50,19,17,2,2063
51,19,18,2,2098
52,19,19,2,1169
53,19,20,2,2040
54,19,21,2,3722
55,19,22,2,755
56,19,23,2,2707
57,19,24,2,8751
58,19,25,2,219
59,19,26,2,269
60,19,27,2,333
61,19,28,2,72
62,19,29,2,60
63,19,30,2,26
64,19,31,2,62
65,19,32,2,18
66,19,33,2,66
67,19,1,3,
68,19,2,3,
69,19,3,3,
70,19,4,3,
71,19,5,3,
72,19,6,3,
73,19,7,3,
74,19,8,3,
75,19,9,3,
76,19,10,3,
77,19,11,3,
78,19,12,3,
79,19,13,3,
80,19,14,3,
81,19,15,3,
82,19,16,3,
83,19,17,3,
84,19,18,3,
85,19,19,3,
86,19,20,3,
87,19,21,3,
88,19,22,3,
89,19,23,3,
90,19,24,3,
91,19,25,3,
92,19,26,3,
93,19,27,3,
94,19,28,3,
95,19,29,3,
96,19,30,3,
97,19,31,3,
98,19,32,3,
99,19,33,3,
100,20,1,1,19425
101,20,2,1,4529
102,20,3,1,15921
103,20,4,1,3328
104,20,5,1,3256
105,20,6,1,3984
106,20,7,1,1326
107,20,8,1,2883
108,20,9,1,1625
109,20,10,1,2237
110,20,11,1,4048
111,20,12,1,472
112,20,13,1,2569
113,20,14,1,730
114,20,15,1,2093
115,20,16,1,2033
116,20,17,1,2529
117,20,18,1,3887
118,20,19,1,2247
119,20,20,1,3384
120,20,21,1,5608
121,20,22,1,1229
122,20,23,1,4297
123,20,24,1,14461
124,20,25,1,532
125,20,26,1,509
126,20,27,1,649
127,20,28,1,98
128,20,29,1,77
129,20,30,1,49
130,20,31,1,196
131,20,32,1,50
132,20,33,1,70
133,20,1,2,11537
134,20,2,2,3411
135,20,3,2,12557
136,20,4,2,2381
137,20,5,2,'2.6'
138,20,6,2,2457
139,20,7,2,671
140,20,8,2,1999
141,20,9,2,889
142,20,10,2,'1.55'
143,20,11,2,2695
144,20,12,2,359
145,20,13,2,1753
146,20,14,2,436
147,20,15,2,1313
148,20,16,2,1033
149,20,17,2,1956
150,20,18,2,2265
151,20,19,2,1534
152,20,20,2,2035
153,20,21,2,3908
154,20,22,2,892
155,20,23,2,2775
156,20,24,2,9213
157,20,25,2,226
158,20,26,2,229
159,20,27,2,233
160,20,28,2,67
161,20,29,2,51
162,20,30,2,34
163,20,31,2,47
164,20,32,2,25
165,20,33,2,56
166,20,1,3,5
167,20,2,3,527
168,20,3,3,9
169,20,4,3,503
170,20,5,3,213
171,20,6,3,1
172,20,7,3,2
173,20,8,3,249
174,20,9,3,1
175,20,10,3,298
176,20,11,3,2
177,20,12,3,69
178,20,13,3,283
179,20,14,3,1
180,20,15,3,1
181,20,16,3,122
182,20,17,3,201
183,20,18,3,2
184,20,19,3,1
185,20,20,3,1
186,20,21,3,1
187,20,22,3,132
188,20,23,3,195
189,20,24,3,5
190,20,25,3,2
191,20,26,3,50
192,20,27,3,36
193,20,28,3,10
194,20,29,3,26
195,20,30,3,16
196,20,31,3,1
197,20,32,3,7
198,20,33,3,28
199,21,1,1,19963
200,21,2,1,4575
201,21,3,1,15819
202,21,4,1,3423
203,21,5,1,3304
204,21,6,1,3899
205,21,7,1,1268
206,21,8,1,2967
207,21,9,1,1996
208,21,10,1,2507
209,21,11,1,4500
210,21,12,1,618
211,21,13,1,2630
212,21,14,1,828
213,21,15,1,2295
214,21,16,1,2097
215,21,17,1,2944
216,21,18,1,4128
217,21,19,1,2045
218,21,20,1,3163
219,21,21,1,5779
220,21,22,1,1481
221,21,23,1,4303
222,21,24,1,14466
223,21,25,1,567
224,21,26,1,569
225,21,27,1,679
226,21,28,1,112
227,21,29,1,84
228,21,30,1,68
229,21,31,1,229
230,21,32,1,63
231,21,33,1,88
232,21,1,2,11452
233,21,2,2,3644
234,21,3,2,12620
235,21,4,2,2460
236,21,5,2,2520
237,21,6,2,2455
238,21,7,2,628
239,21,8,2,1878
240,21,9,2,969
241,21,10,2,1684
242,21,11,2,2947
243,21,12,2,427
244,21,13,2,1742
245,21,14,2,403
246,21,15,2,1296
247,21,16,2,1152
248,21,17,2,2205
249,21,18,2,2388
250,21,19,2,1212
251,21,20,2,2002
252,21,21,2,3866
253,21,22,2,1109
254,21,23,2,2851
255,21,24,2,8978
256,21,25,2,255
257,21,26,2,242
258,21,27,2,256
259,21,28,2,80
260,21,29,2,38
261,21,30,2,25
262,21,31,2,72
263,21,32,2,30
264,21,33,2,59
265,21,1,3,6
266,21,2,3,2
267,21,3,3,1
268,21,4,3,556
269,21,5,3,4
270,21,6,3,1
271,21,7,3,158
272,21,8,3,199
273,21,9,3,236
274,21,10,3,364
275,21,11,3,3
276,21,12,3,91
277,21,13,3,249
278,21,14,3,131
279,21,15,3,240
280,21,16,3,1
281,21,17,3,3
282,21,18,3,297
283,21,19,3,101
284,21,20,3,1
285,21,21,3,1
286,21,22,3,173
287,21,23,3,209
288,21,24,3,5
289,21,25,3,35
290,21,26,3,49
291,21,27,3,56
292,21,28,3,6
293,21,29,3,16
294,21,30,3,16
295,21,31,3,1
296,21,32,3,18
297,21,33,3,1
298,22,1,1,20765
299,22,2,1,4882
300,22,3,1,15826
301,22,4,1,3281
302,22,5,1,3104
303,22,6,1,3824
304,22,7,1,1376
305,22,8,1,3055
306,22,9,1,2091
307,22,10,1,2369
308,22,11,1,4630
309,22,12,1,649
310,22,13,1,2810
311,22,14,1,831
312,22,15,1,2441
313,22,16,1,2333
314,22,17,1,2684
315,22,18,1,4086
316,22,19,1,2055
317,22,20,1,3293
318,22,21,1,5791
319,22,22,1,1387
320,22,23,1,4367
321,22,24,1,15112
322,22,25,1,661
323,22,26,1,652
324,22,27,1,592
325,22,28,1,101
326,22,29,1,87
327,22,30,1,16
328,22,31,1,294
