'Row_Id','IdAño','IdPais','Emigrantes'
1,26,1,4
2,27,1,33
3,28,1,35
4,29,1,41
5,30,1,66
6,31,1,50
7,32,1,47
8,33,1,24
9,34,1,26
10,35,1,15
11,36,1,1
12,37,1,1
13,38,1,2
14,39,1,10
15,41,1,2
16,26,2,2
17,27,2,2
18,29,2,3
19,30,2,1
20,32,2,2
21,33,2,6
22,35,2,2
23,36,2,2
24,37,2,1
25,38,2,1
26,39,2,3
27,41,2,2
28,35,7,2
29,26,11,2
30,27,11,11
31,28,11,14
32,29,11,11
33,30,11,11
34,31,11,20
35,32,11,19
36,33,11,9
37,34,11,7
38,35,11,10
39,36,11,9
40,37,11,11
41,38,11,8
42,39,11,15
43,41,11,1
44,33,223,1
45,26,4,4
46,27,4,1
47,28,4,4
48,29,4,4
49,30,4,4
50,31,4,4
51,32,4,5
52,33,4,5
53,34,4,4
54,35,4,3
55,36,4,4
56,37,4,6
57,38,4,2
58,39,4,5
59,41,4,2
60,27,5,1
61,28,5,2
62,29,5,2
63,30,5,7
64,31,5,4
65,32,5,6
66,33,5,3
67,34,5,5
68,35,5,2
69,36,5,10
70,37,5,3
71,38,5,1
72,39,5,4
73,41,5,1
74,26,8,3
75,27,8,3
76,28,8,4
77,29,8,3
78,30,8,10
79,31,8,12
80,32,8,2
81,33,8,3
82,34,8,2
83,35,8,4
84,36,8,5
85,37,8,3
86,38,8,4
87,39,8,6
88,41,8,2
89,26,18,1
90,28,18,1
91,29,18,3
92,30,18,1
93,31,18,2
94,32,18,3
95,33,18,5
96,34,18,1
97,35,18,4
98,36,18,3
99,37,18,8
100,38,18,6
101,39,18,3
102,41,18,1
103,26,13,986
104,27,13,1392
105,28,13,2496
106,29,13,3043
107,30,13,4138
108,31,13,6124
109,32,13,6873
110,33,13,7287
111,34,13,7912
112,35,13,7170
113,36,13,7880
114,37,13,8210
115,38,13,9970
116,39,13,10181
117,41,13,3775
118,26,16,375
119,27,16,558
120,28,16,943
121,29,16,1206
122,30,16,1155
123,31,16,1027
124,32,16,1041
125,33,16,1324
126,34,16,1356
127,35,16,1112
128,36,16,1242
129,37,16,1674
130,38,16,1768
131,39,16,2287
132,41,16,1152
133,26,17,72
134,27,17,107
135,28,17,112
136,29,17,142
137,30,17,198
138,31,17,202
139,32,17,213
140,33,17,147
141,34,17,168
142,35,17,107
143,36,17,99
