'Row_Id','Año','DEPARTAMENTOS','Población total','Población en edad de trabajar','Población económicamente activa'
1,22,1,5453495,4150112,2454378
2,22,2,2174929,1608995,903183
3,22,3,6557525,5054771,3310962
4,22,4,204354,1490141,829396
5,22,5,1375045,1032073,597878
6,22,6,1120718,867014,53936
7,22,8,1277422,945359,643173
8,22,9,979572,696278,412602
9,22,10,1337598,993529,596123
10,22,11,2184584,1700176,1018955
11,22,12,408556,288773,182283
12,22,13,939067,690215,417731
13,22,14,491512,350039,198319
14,22,15,1308492,953564,532396
15,22,16,714659,518233,325857
16,22,17,1661536,123701,838305
17,22,18,1375454,992863,614386
18,22,19,572694,439736,278934
19,22,20,960563,740541,469685
20,22,21,1989648,1489649,993918
21,22,22,809611,586219,322045
22,22,23,13008,987612,648292
23,22,24,4246854,3258106,2120241
24,23,1,5531893,4228208,2562982
25,23,2,2223229,1653091,909186
26,23,3,6698167,5182108,3422672
27,23,4,2090322,1531216,792158
28,23,5,1385123,1044027,633099
29,23,6,1133791,881616,54281
30,23,7,43686,30695,163718
31,23,8,1299187,965938,623818
32,23,9,997561,713944,404528
33,23,10,1352279,1012211,614686
34,23,11,2226236,1742365,1080148
35,23,12,410123,294548,193498
36,23,13,953394,705308,423014
37,23,14,500029,358593,186285
38,23,15,1332516,976093,514668
39,23,16,729161,531205,334711
40,23,17,1690354,1264359,839165
41,23,18,1405295,1018421,62414
42,23,19,582904,449505,285502
43,23,20,97698,756326,479311
44,23,21,201459,1514283,1013285
45,23,22,824668,600457,295042
46,23,23,130495,997055,636617
47,23,24,4318144,332883,2126106
48,24,1,5608794,4305351,2562993
49,24,2,2272169,1698029,931296
50,24,3,6849986,5317452,3557515
51,24,4,2137257,1572763,819273
52,24,5,1394951,1055845,684824
53,24,6,1146845,896331,538839
54,24,7,446083,315007,185779
55,24,8,1321627,987296,664591
56,24,9,1015851,732058,399247
57,24,10,1367009,1031124,629792
58,24,11,2266975,1784255,1163442
59,24,12,411843,300525,199937
60,24,13,96783,72062,471896
61,24,14,508649,367313,199796
62,24,15,135661,998959,526433
63,24,16,743688,544238,354648
64,24,17,1718918,1291722,907869
65,24,18,1435236,1044245,638346
66,24,19,593217,459484,279801
67,24,20,993416,77224,478937
68,24,21,2039335,1538916,1031477
69,24,22,839769,614849,324904
70,24,23,1309022,1006473,642069
71,24,24,4389422,3400074,2204667
72,25,1,5685134,4376102,2554128
73,25,2,2321445,1743586,941553
74,25,3,7013738,5461367,3550816
75,25,4,2184216,1614665,855309
76,25,5,1404316,1067364,665751
77,25,6,1159786,911072,526748
78,25,7,455507,323282,173056
