'Row_Id';'IdAño';'IdDepartamento';'IDH'
1;11;29;0.669
2;11;1;0.608
3;11;25;0.649
4;11;2;0.637
5;11;3;0.683
6;11;4;0.609
7;11;5;0.5650000000000001
8;11;6;0.614
9;11;7;0.5720000000000001
10;11;26;0.679
11;11;8;0.5630000000000001
12;11;9;0.559
13;11;12;0.5690000000000001
14;11;10;0.556
15;11;11;0.5680000000000001
16;11;30;0.631
17;11;14;0.5660000000000001
18;11;31;0.613
19;11;13;0.599
20;11;15;0.58
21;11;16;0.654
22;11;17;0.519
23;11;18;0.611
24;11;27;0.66
25;11;19;0.648
26;11;20;0.638
27;11;28;0.6900000000000001
28;11;21;0.587
29;11;22;0.534
30;11;23;0.5720000000000001
31;11;24;0.635
32;11;32;0.646
33;11;33;0.631
34;12;29;0.678
35;12;1;0.617
36;12;25;0.657
37;12;2;0.646
38;12;3;0.6920000000000001
39;12;4;0.617
40;12;5;0.5740000000000001
41;12;6;0.622
42;12;7;0.58
43;12;26;0.68
44;12;8;0.5710000000000001
45;12;9;0.5670000000000001
46;12;12;0.577
47;12;10;0.5640000000000001
48;12;11;0.577
49;12;30;0.64
50;12;14;0.5740000000000001
51;12;31;0.621
52;12;13;0.608
53;12;15;0.588
54;12;16;0.663
55;12;17;0.527
56;12;18;0.62
57;12;27;0.668
58;12;19;0.657
59;12;20;0.646
60;12;28;0.6990000000000001
61;12;21;0.596
62;12;22;0.542
63;12;23;0.58
64;12;24;0.643
65;12;32;0.655
66;12;33;0.639
67;13;29;0.68
68;13;1;0.626
69;13;25;0.667
70;13;2;0.656
71;13;3;0.7020000000000001
72;13;4;0.627
73;13;5;0.584
74;13;6;0.632
75;13;7;0.589
76;13;26;0.6980000000000001
77;13;8;0.58
78;13;9;0.5760000000000001
79;13;12;0.587
80;13;10;0.5740000000000001
81;13;11;0.586
82;13;30;0.649
83;13;14;0.584
84;13;31;0.631
85;13;13;0.617
86;13;15;0.598
87;13;16;0.673
88;13;17;0.536
89;13;18;0.629
90;13;27;0.678
91;13;19;0.667
92;13;20;0.657
93;13;28;0.709
94;13;21;0.605
95;13;22;0.552
96;13;23;0.589
97;13;24;0.653
98;13;32;0.665
99;13;33;0.649
100;14;29;0.6950000000000001
101;14;1;0.632
102;14;25;0.674
103;14;2;0.662
104;14;3;0.709
105;14;4;0.633
106;14;5;0.589
107;14;6;0.639
108;14;7;0.595
109;14;26;0.705
110;14;8;0.586
111;14;9;0.582
112;14;12;0.593
113;14;10;0.58
114;14;11;0.592
115;14;30;0.656
116;14;14;0.59
117;14;31;0.637
118;14;13;0.624
119;14;15;0.604
120;14;16;0.679
121;14;17;0.541
122;14;18;0.636
123;14;27;0.685
124;14;19;0.674
125;14;20;0.663
126;14;28;0.716
127;14;21;0.611
128;14;22;0.558
129;14;23;0.595
130;14;24;0.66
131;14;32;0.671
132;14;33;0.655
133;15;29;0.7010000000000001
134;15;1;0.638
135;15;25;0.68
136;15;2;0.668
137;15;3;0.715
138;15;4;0.639
139;15;5;0.595
140;15;6;0.644
141;15;7;0.601
142;15;26;0.711
143;15;8;0.591
144;15;9;0.587
145;15;12;0.598
146;15;10;0.586
147;15;11;0.597
148;15;30;0.662
149;15;14;0.596
150;15;31;0.643
151;15;13;0.629
152;15;15;0.609
153;15;16;0.685
154;15;17;0.546
155;15;18;0.641
156;15;27;0.6910000000000001
157;15;19;0.68
158;15;20;0.669
159;15;28;0.722
160;15;21;0.617
161;15;22;0.5630000000000001
162;15;23;0.601
163;15;24;0.666
164;15;32;0.677
165;15;33;0.661
166;16;29;0.706
167;16;1;0.642
168;16;25;0.684
169;16;2;0.673
170;16;3;0.72
171;16;4;0.644
