'Row_Id','IdAño','IdPais','Inmigrantes'
1,27,1,36
2,28,1,21
3,29,1,112
4,30,1,36
5,31,1,40
6,32,1,29
7,33,1,6
8,34,1,7
9,35,1,9
10,36,1,3
11,37,1,1
12,38,1,2
13,39,1,1
14,41,1,12
15,30,2,1
16,38,2,3
17,39,2,1
18,36,7,2
19,28,11,2
20,29,11,3
21,30,11,8
22,31,11,13
23,32,11,14
24,33,11,9
25,34,11,6
26,35,11,10
27,36,11,8
28,37,11,5
29,38,11,7
30,39,11,14
31,41,11,3
32,27,4,1
33,28,4,2
34,29,4,2
35,30,4,1
36,31,4,1
37,33,4,2
38,35,4,1
39,37,4,2
40,38,4,4
41,39,4,1
42,41,4,3
43,27,5,1
44,30,5,2
45,31,5,1
46,32,5,5
47,33,5,2
48,34,5,1
49,35,5,3
50,36,5,1
51,37,5,8
52,38,5,2
53,39,5,2
54,27,8,2
55,28,8,1
56,29,8,5
57,30,8,2
58,31,8,2
59,32,8,1
60,34,8,8
61,35,8,1
62,36,8,3
63,37,8,4
64,38,8,2
65,39,8,3
66,41,8,4
67,31,18,2
68,32,18,1
69,33,18,1
70,34,18,3
71,35,18,4
72,36,18,4
73,37,18,4
74,38,18,1
75,39,18,2
76,27,13,686
77,28,13,1365
78,29,13,1643
79,30,13,2579
80,31,13,3361
81,32,13,3458
82,33,13,3875
83,34,13,4949
84,35,13,5255
85,36,13,5615
86,37,13,5951
87,38,13,6672
88,39,13,6684
89,41,13,3525
90,27,16,66
91,28,16,86
92,29,16,193
93,30,16,316
94,31,16,300
95,32,16,274
96,33,16,339
97,34,16,429
98,35,16,542
99,36,16,679
100,37,16,825
101,38,16,944
102,39,16,1081
103,41,16,303
104,27,17,17
105,28,17,22
106,29,17,58
107,30,17,48
108,31,17,68
109,32,17,60
110,33,17,49
111,34,17,74
112,35,17,56
113,36,17,39
114,37,17,49
115,38,17,51
116,39,17,75
117,41,17,49
118,27,19,7
119,28,19,13
120,29,19,14
121,30,19,4
122,31,19,17
123,32,19,26
124,33,19,39
125,34,19,26
126,35,19,23
127,36,19,23
128,37,19,29
129,38,19,32
130,39,19,50
131,41,19,28
132,27,20,1
133,28,20,1
134,29,20,2
135,30,20,5
136,31,20,2
