'Row_Id','IdAño','IdDepartamento','PIB_percapita'
1,26,29,3830908
2,26,1,9340469
3,26,25,16097955
4,26,2,6388791
5,26,3,13385931
6,26,4,6205737
7,26,5,7211579
8,26,6,6036872
9,26,7,3306217
10,26,26,24123828
11,26,8,3948746
12,26,9,6810781
13,26,12,3060247
14,26,10,3912903
15,26,11,10268544
16,26,30,4134059
17,26,31,4759905
18,26,13,6451275
19,26,14,6503249
20,26,15,3938108
21,26,16,10016793
22,26,17,3422276
23,26,18,3928796
24,26,27,4190375
25,26,19,5378939
26,26,20,6277539
27,26,28,7876466
28,26,21,9951651
29,26,22,3045612
30,26,23,5905371
31,26,24,8233652
32,26,32,3133078
33,26,33,3887315
34,27,29,4169814
35,27,1,10362481
36,27,25,18229413
37,27,2,7194985
38,27,3,14770879
39,27,4,7044660
40,27,5,8046451
41,27,6,6934270
42,27,7,3575615
43,27,26,24864712
44,27,8,4414192
45,27,9,7684507
46,27,12,3314596
47,27,10,4362011
48,27,11,11046444
49,27,30,4655932
50,27,31,5133194
51,27,13,6895658
52,27,14,7204102
53,27,15,4202994
54,27,16,11845232
55,27,17,3926952
56,27,18,4562230
57,27,27,4883522
58,27,19,6350376
59,27,20,7174399
60,27,28,9030802
61,27,21,11318386
62,27,22,3481809
63,27,23,6708554
64,27,24,9364012
65,27,32,3201815
66,27,33,4114080
67,28,29,4486342
68,28,1,11530203
69,28,25,19918687
70,28,2,8299825
71,28,3,16332253
72,28,4,7956639
73,28,5,9523137
74,28,6,7682864
75,28,7,4060678
76,28,26,23554324
77,28,8,4792247
78,28,9,8146177
79,28,12,3497940
80,28,10,5186748
81,28,11,12259261
82,28,30,4553399
83,28,31,5776380
84,28,13,7441987
85,28,14,7342993
86,28,15,4618524
87,28,16,12706662
88,28,17,4236402
89,28,18,5093601
90,28,27,5617663
91,28,19,6908084
92,28,20,7703890
93,28,28,10561225
94,28,21,12762161
95,28,22,3947168
96,28,23,7681132
97,28,24,10568989
98,28,32,3718202
99,28,33,4091512
100,29,29,4807018
101,29,1,12084732
102,29,25,25942969
103,29,2,8858405
104,29,3,17541907
105,29,4,8593127
106,29,5,11059678
107,29,6,8282623
108,29,7,4519574
109,29,26,28528736
110,29,8,5347831
111,29,9,9845957
112,29,12,3822819
113,29,10,5129321
114,29,11,13547103
115,29,30,4854812
116,29,31,6071819
117,29,13,8686536
118,29,14,9388252
119,29,15,5293554
120,29,16,17810571
121,29,17,4462738
122,29,18,5756904
123,29,27,7107722
124,29,19,7449000
125,29,20,8322006
126,29,28,11111392
127,29,21,14545114
128,29,22,4306632
129,29,23,8663629
130,29,24,11278073
131,29,32,3862698
132,29,33,4337204
133,30,29,5202908
134,30,1,12444001
135,30,25,22330062
136,30,2,9317808
137,30,3,18584132
138,30,4,8702860
139,30,5,11433547
140,30,6,8485412
141,30,7,4901195
142,30,26,25845154
143,30,8,5710392
144,30,9,10227409
145,30,12,4690095
146,30,10,5235480
147,30,11,14138511
148,30,30,5076118
149,30,31,6177281
150,30,13,8679324
151,30,14,9608067
152,30,15,5858657
153,30,16,19211130
154,30,17,4755905
155,30,18,6139384
156,30,27,7872365
157,30,19,7790106
158,30,20,8873225
159,30,28,12172643
160,30,21,14433162
161,30,22,4742348
162,30,23,8719595
163,30,24,11991481
164,30,32,4062368
165,30,33,4390230
166,31,29,5591516
167,31,1,13099961
168,31,25,22828949
169,31,2,9481200
170,31,3,19690381
171,31,4,9624569
172,31,5,12422312
173,31,6,8962649
174,31,7,5048397
175,31,26,28892100
176,31,8,6285109
177,31,9,10603692
178,31,12,6317316
179,31,10,5503257
180,31,11,14837916
181,31,30,5337184
182,31,31,6442355
183,31,13,9548625
184,31,14,9587598
185,31,15,6119383
186,31,16,26347264
187,31,17,4908591
188,31,18,6377160
