'IdPais';'Pais'
1;'AFGANISTAN'
2;'ALBANIA'
3;'ALEMANIA'
4;'ANDORRA'
5;'ANGOLA'
6;'ANGUILA'
7;'ANTARTIDA'
8;'ANTIGUA Y BARBUDA'
9;'ANTILLAS HOLANDESAS'
10;'ARABIA SAUDITA'
11;'ARGEL'
12;'ARGELIA'
13;'ARGENTINA'
14;'ARMENIA'
15;'ARUBA'
16;'AUSTRALIA'
17;'AUSTRIA'
18;'AZERBAIYAN'
19;'BAHAMAS'
20;'BAHREIN'
21;'BAHR�IN'
22;'BANGLADESH'
23;'BARBADOS'
24;'BELARUS'
25;'BELGICA'
26;'BELICE'
27;'BENIN'
28;'BERMUDAS'
29;'BHUTAN'
30;'BIELORUSIA'
31;'BOLIVIA'
32;'BOSNIA Y HERZEGOVINA'
33;'BOTSUANA'
34;'BRASIL'
35;'BRUNEI'
36;'BRUN�I'
37;'BULGARIA'
38;'BURKINA FASO'
39;'BURUNDI'
40;'BUTAN'
41;'B�LGICA'
42;'CABO VERDE'
43;'CAMBOYA'
44;'CAMERUN'
45;'CANADA'
46;'CEILAN'
47;'CHAD'
48;'CHECOSLOVAQUIA'
49;'CHILE'
50;'CHINA'
51;'CHIPRE'
52;'CIUDAD DEL VATICANO'
53;'COLOMBIA'
54;'COMORAS'
55;'CONGO'
56;'COOK, ISLAS'
57;'COREA'
58;'COREA DEL NORTE'
59;'COREA DEL SUR'
60;'COSTA DE MARFIL'
61;'COSTA RICA'
62;'CROACIA'
63;'CUBA'
64;'DINAMARCA'
65;'DJIBOUTI'
66;'DOMINICA'
67;'ECUADOR'
68;'EGIPTO'
69;'EL SALVADOR'
70;'EMIRATOS ARABES UNIDOS'
71;'ERITREA'
72;'ESCOCIA'
73;'ESLOVAQUIA'
74;'ESLOVENIA'
75;'ESPA�A'
76;'ESTADOS UNIDOS'
77;'ESTONIA'
78;'ETIOPIA'
79;'FIJI'
80;'FILIPINAS'
81;'FINLANDIA'
82;'FRANCIA'
83;'GABON'
84;'GAMBIA'
85;'GEORGIA'
86;'GHANA'
87;'GIBRALTAR'
88;'GRANADA'
89;'GRECIA'
90;'GROENLANDIA'
91;'GUADALUPE'
92;'GUAM'
93;'GUATEMALA'
94;'GUERNSEY'
95;'GUINEA'
96;'GUINEA ECUATORIAL'
97;'GUINEA-BISSAU'
98;'GUYANA'
99;'GUYANA FRANCESA'
100;'HAITI'
101;'HONDURAS'
102;'HONG KONG'
103;'HUNGRIA'
104;'INDIA'
105;'INDONESIA'
106;'IRAK'
107;'IRAN'
108;'IRLANDA'
109;'ISLA BONAIRE'
110;'ISLA BOUVET'
111;'ISLA CURAZAO'
112;'ISLA DE MAN'
113;'ISLANDIA'
114;'ISLAS ALAND'
115;'ISLAS ANGLONORMANDAS'
116;'ISLAS CAIMAN'
117;'ISLAS CANTON'
118;'ISLAS CHRISTMAS'
119;'ISLAS COCOS'
120;'ISLAS COOK'
121;'ISLAS DEL'
122;'ISLAS FAROE'
123;'ISLAS FEROE'
124;'ISLAS HEARD Y MC DONALD'
125;'ISLAS JOHNSTON'
126;'ISLAS MALVINAS'
127;'ISLAS MARSHALL'
128;'ISLAS NORFOLK'
129;'ISLAS PACIFICO'
130;'ISLAS PALAOS'
131;'ISLAS SALOMON'
132;'ISLAS SOLOMON'
133;'ISLAS SVALBARD Y JAN MAYEN'
134;'ISLAS SVALBARD Y JAN MAYEN'
135;'ISLAS TURCAS Y CAICOS'
136;'ISLAS VIRGENES BRITANICAS'
137;'ISLAS VIRGENES DE ESTADOS UNIDOS'
138;'ISLAS WAKE'
139;'ISRAEL'
140;'ITALIA'
141;'JAMAICA'
142;'JAPON'
143;'JERSEY'
144;'JORDANIA'
145;'KAZAJISTAN'
146;'KENIA'
147;'KIRGUISTAN'
148;'KIRIBATI'
149;'KUWAIT'
150;'LAOS'
151;'LESOTHO'
152;'LETONIA'
153;'LIBANO'
154;'LIBERIA'
155;'LIBIA'
156;'LIECHTENSTEIN'
157;'LITUANIA'
158;'LUXEMBURGO'
159;'MACAO'
160;'MACEDONIA'
161;'MADAGASCAR'
162;'MALASIA'
163;'MALAWI'
164;'MALDIVAS'
165;'MALI'
166;'MALTA'
167;'MARIANAS DEL NORTE'
168;'MARRUECOS'
169;'MARTINICA'
170;'MAURICIO'
171;'MAURITANIA'
172;'MAYOTE'
173;'MEXICO'
174;'MICRONESIA'
175;'MIDWAY, ISLAS'
176;'MOLDAVIA'
177;'MOLDOVA'
178;'MONACO'
179;'MONGOLIA'
180;'MONTENEGRO'
181;'MONTSERRAT'
182;'MOZAMBIQUE'
183;'MYANMAR'
184;'M�XICO'
185;'NAMIBIA'
186;'NAURU'
187;'NEPAL'
188;'NICARAGUA'
189;'NIGER'
190;'NIGERIA'
191;'NIUE'
192;'NORUEGA'
193;'NUEVA CALEDONIA'
194;'NUEVA ZELANDA'
195;'OMAN'
196;'PAIS'
197;'PAISES BAJOS'
198;'PAISES NO PRECISADOS EN OTRA PARTE Y DESCONOCIDOS'
199;'PAKISTAN'
200;'PALAU'
201;'PALESTINA'
202;'PANAMA'
203;'PAPUA NUEVA GUINEA'
204;'PARAGUAY'
205;'PENINSULA DE MALASIA '
206;'PERU'
207;'PITCAIRN'
208;'POLINESIA FRANCESA'
209;'POLONIA'
210;'PORTUGAL'
211;'PUERTO RICO'
212;'QATAR'
213;'REINO UNIDO'
214;'REPUBLICA CENTROAFRICANA'
215;'REPUBLICA CHECA'
216;'REPUBLICA DOMINICANA'
217;'REUNION'
218;'RUANDA'
219;'RUMANIA'
220;'RUSIA'
221;'SAHARA OCCIDENTAL'
222;'SAMOA'
223;'SAMOA AMERICANA'
224;'SAN BARTOLOME'
225;'SAN CRISTOBAL Y NIEVES'
226;'SAN MARINO'
227;'SAN MARTIN (PARTE FRANCESA)'
228;'SAN MARTIN (PARTE HOLANDESA)'
229;'SAN PEDRO Y MIQUELON'
230;'SAN VICENTE Y LAS GRANADINAS'
231;'SANTA ELENA'
232;'SANTA LUCIA'
233;'SANTA SEDE'
234;'SANTO TOME Y PRINCIPE'
235;'SENEGAL'
236;'SERBIA'
237;'SERBIA Y MONTENEGRO'
238;'SEYCHELLES'
239;'SIERRA LEONA'
240;'SINGAPUR'
241;'SIRIA'
242;'SOMALIA'
243;'SRI LANKA'
244;'SUDAFRICA'
245;'SUDAN'
246;'SUDAN DEL SUR'
247;'SUECIA'
248;'SUIZA'
249;'SURINAM'
250;'SWAZILANDIA'
