'Row_Id','Periodo','TOTALPUB','TOTALPRI'
1,21,20697000000,15522000000
2,22,23535000000,15629000000
3,23,22838000000,14543000000
4,24,24584000000,1348000000
5,25,25835000000,13662000000
6,26,24189000000,14317000000
7,27,26299000000,13803000000
8,28,28819000000,15734000000
9,29,29514000000,16925000000
10,30,3719000000,1659000000
11,31,396000000,25192000000
12,32,42487000000,33135000000
13,33,46116000000,32669000000
14,34,52216000000,39856000000
15,35,59767000000,42142000000
16,36,66158000000,4576000000
17,37,71078000000,49319000000
18,38,7187000000,52926000000
19,39,72999000000,59223000000
20,40,73835000000,64848000000
21,41,89959000000,64548000000
22,42,102395000000,68909000000
23,43,104643000000,79238000000
